Time            Price           Type
1101              9.621            sell
1138              9.591            buy
1139              9.591            buy
1140              9.561            sell
1141              9.561            sell
1145              9.591            buy
1145              9.561            sell
1151              9.591            buy
1151              9.621            buy
1151              9.621            buy
1154              9.621            buy
1160              9.561            sell
1161              9.561            sell
1162              9.591            sell
1167              9.592            sell
1173              9.622            buy
1172              9.622            buy
1173              9.562            sell
1174              9.562            sell
1175              9.592            buy
1175              9.562            sell
1178              9.592            buy
1179              9.592            buy
1179              9.592            buy
1184              9.622            buy
1193              9.592            sell
1194              9.592            sell
1194              9.562            sell
1199              9.592            sell
1207              9.622            buy
1206              9.622            buy
1207              9.592            sell
1208              9.592            sell
1223              9.592            buy
1223              9.562            sell
1273              9.498            buy
1272              9.498            buy
1273              9.498            buy
1278              9.498            buy
1286              9.498            sell
1288              9.468            sell
1292              9.468            sell
1292              9.528            buy
1302              9.498            buy
1302              9.498            buy
1304              9.499            sell
1305              9.529            buy
1307              9.469            sell
1308              9.469            sell
1309              9.564            buy
1308              9.564            buy
1315              9.469            sell
1316              9.469            sell
1316              9.529            buy
1317              9.499            sell
1318              9.499            sell
1320              9.499            sell
1323              9.564            buy
1322              9.564            buy
1323              9.529            buy
1325              9.529            buy
1330              9.499            sell
1331              9.499            sell
1331              9.529            buy
1332              9.529            sell
1335              9.499            sell
1338              9.499            sell
1344              9.529            buy
1343              9.529            buy
1345              9.529            buy
1348              9.529            buy
1352              9.499            sell
1352              9.529            buy
1360              9.499            sell
1361              9.499            sell
1361              9.499            sell
1364              9.529            buy
1365              9.529            sell
1366              9.499            sell
1367              9.529            buy
1369              9.499            sell
1370              9.564            buy
1371              9.564            buy
1370              9.564            buy
1373              9.530            buy
1378              9.500            sell
1379              9.500            sell
1380              9.500            sell
1382              9.500            sell
1385              9.530            buy
1384              9.530            buy
1385              9.470            sell
1386              9.470            sell
1411              9.470            buy
1411              9.500            buy
1411              9.500            buy
1416              9.500            buy
1427              9.500            sell
1429              9.470            sell
1430              9.470            sell
1434              9.440            sell
1438              9.530            buy
1437              9.530            buy
1439              9.500            buy
1442              9.530            buy
1467              9.625            sell
1469              9.625            sell
1471              9.595            sell
1474              9.530            sell
1477              9.655            buy
1479              9.655            buy
1479              9.690            buy
1482              9.690            buy
1504              9.720            sell
1506              9.720            sell
1512              9.750            buy
1512              9.750            buy
1520              9.720            sell
1521              9.720            sell
1521              9.720            sell
1525              9.750            sell
1525              9.750            buy
1527              9.750            buy
1527              9.750            buy
1529              9.780            buy
1541              9.750            sell
1542              9.750            sell
1543              9.750            sell
1546              9.750            sell
1571              9.690            buy
1572              9.690            buy
1572              9.690            buy
1578              9.690            buy
1580              9.655            sell
1581              9.655            sell
1582              9.690            buy
1581              9.690            buy
1582              9.655            sell
1583              9.655            sell
1583              9.690            buy
1585              9.655            sell
1586              9.690            buy
1585              9.690            buy
1586              9.655            sell
1586              9.655            sell
1587              9.655            sell
1587              9.690            buy
1589              9.655            sell
1593              9.625            sell
1616              9.625            buy
1618              9.655            buy
1618              9.655            buy
1623              9.655            buy
1630              9.595            sell
1631              9.595            sell
1632              9.655            buy
1633              9.625            sell
1634              9.625            sell
1635              9.655            buy
1637              9.625            sell
1639              9.625            sell
1646              9.655            buy
1645              9.655            buy
1646              9.625            buy
1650              9.655            buy
1653              9.625            sell
1654              9.625            sell
1655              9.655            buy
1654              9.655            buy
1655              9.625            sell
1655              9.625            sell
1656              9.625            sell
1659              9.565            sell
1668              9.655            buy
1667              9.655            buy
1668              9.625            buy
1672              9.625            buy
1679              9.625            sell
1680              9.625            sell
1681              9.625            sell
1684              9.655            buy
1683              9.655            buy
1684              9.655            buy
1688              9.625            sell
1689              9.655            sell
1690              9.655            buy
1690              9.655            buy
1692              9.565            sell
1692              9.565            sell
1693              9.565            sell
1695              9.595            sell
1705              9.625            buy
1705              9.625            buy
1707              9.625            buy
1710              9.595            sell
1710              9.625            buy
1712              9.625            buy
1717              9.595            sell
1718              9.595            sell
1718              9.565            sell
1720              9.530            sell
1741              9.500            buy
1742              9.470            sell
1752              9.525            buy
1752              9.520            buy
1752              9.520            buy
1756              9.555            buy
1760              9.490            sell
1761              9.430            sell
1762              9.430            sell
1765              9.460            sell
1772              9.555            buy
1771              9.555            buy
1773              9.555            buy
1775              9.520            buy
1778              9.460            sell
1779              9.460            sell
1780              9.395            sell
1782              9.395            sell
1800              9.305            buy
1801              9.270            buy
